release,class_name,size,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,buggy
5,java/src/com/yahoo/jute/Record.java,8,167,7,3,165,33,23,165,33,no
5,java/src/com/yahoo/jute/RecordReader.java,57,492,7,3,490,98,70,490,98,no
5,java/src/com/yahoo/jute/RecordWriter.java,75,587,7,3,585,117,83,585,117,no
5,java/src/com/yahoo/jute/Utils.java,188,1382,7,3,1380,276,197,1380,276,no
5,java/src/com/yahoo/jute/XmlInputArchive.java,194,1257,7,3,1255,251,179,1255,251,no
5,java/src/com/yahoo/jute/XmlOutputArchive.java,195,1262,7,4,1260,252,180,1260,252,no
5,java/src/com/yahoo/jute/compiler/CGenerator.java,40,422,6,3,420,84,70,420,84,no
5,java/src/com/yahoo/jute/compiler/CppGenerator.java,37,397,7,3,395,79,56,395,79,no
5,java/src/com/yahoo/jute/compiler/JBoolean.java,15,217,7,3,215,43,30,215,43,no
5,java/src/com/yahoo/jute/compiler/JBuffer.java,72,549,7,3,535,107,76,535,107,no
5,java/src/com/yahoo/jute/compiler/JByte.java,9,177,7,3,175,35,25,175,35,no
5,java/src/com/yahoo/jute/compiler/JCompType.java,24,277,7,3,275,55,39,275,55,no
5,java/src/com/yahoo/jute/compiler/JDouble.java,13,207,7,3,205,41,29,205,41,no
5,java/src/com/yahoo/jute/compiler/JField.java,57,497,7,3,495,99,70,495,99,no
5,java/src/com/yahoo/jute/compiler/JFile.java,32,367,7,3,365,73,52,365,73,no
5,java/src/com/yahoo/jute/compiler/JFloat.java,12,202,7,3,200,40,28,200,40,no
5,java/src/com/yahoo/jute/compiler/JInt.java,9,177,7,3,175,35,25,175,35,no
5,java/src/com/yahoo/jute/compiler/JLong.java,12,197,7,3,195,39,27,195,39,no
5,java/src/com/yahoo/jute/compiler/JMap.java,64,509,7,3,505,101,72,505,101,no
5,java/src/com/yahoo/jute/compiler/JRecord.java,439,2544,7,4,2540,508,362,2540,508,no
5,java/src/com/yahoo/jute/compiler/JString.java,19,237,7,3,235,47,33,235,47,no
5,java/src/com/yahoo/jute/compiler/JType.java,94,712,7,3,710,142,101,710,142,no
5,java/src/com/yahoo/jute/compiler/JVector.java,67,532,7,4,530,106,75,530,106,no
